(0.16666666666666666, 0.0, 0.16666666666666666, 0.3333333333333333)	— Co będzie do nauki potrzeba, ja wszystko kupię; nie potrzebuje pan nic żałować.
(0.16666666666666666, 0.8333333333333334, 0.0, 0.0)	— Gotów nieboszczyk?...
(0.0, 0.16666666666666666, 0.8333333333333334, 0.0)	Puść mnie, wolnym chcę być!
(-0.6666666666666666, 0.0, -0.3333333333333333, 0.0)	— Bóg widzi, że moja hardość została za bramą tutejszą.
(0.0, 0.8333333333333334, 0.0, 0.0)	— A kiedy to trzeba załatwić?
(0.5, 0.0, 0.0, 0.0)	Przebyli już pas ogrodów warzywnych okalających wygłodzoną Umballę i znajdowali się pośrodku milami rozpostartej zieloności urodzajnych zbóż.
(-0.3333333333333333, 0.5, 0.0, 0.16666666666666666)	Weźcie mnie z sobą.
(-0.7777777777777778, 0.0, 0.0, -0.1111111111111111)	Lampka żółtym cieniem spowija izbę suteryny, jej ubogie sprzęty i znużone świętem twarze mieszkańców.
(0.0, 0.0, 0.16666666666666666, -0.5)	Gdybyśmy śmieli, wychowywalibyśmy młode dziewczęta wręcz jak niewolnice; dowodem tego jest, że z rzeczy użytecznych umieją jedynie to, czegośmy ich nie chcieli nauczyć.
(0.0, 0.0, 0.0, 0.0)	Doktorowa na pierwszy rzut oka sprawiała wrażenie babiny gadatliwej, chętnie decydującej i chłodnej.
(0.3333333333333333, 0.0, 0.0, 0.16666666666666666)	— Już tam pan Michał pracuje — rzekł Zagłoba.
(0.0, 0.0, -0.3333333333333333, 0.0)	W pewnej chwili Judym usłyszał przed sobą w ciemnościach rozmowę, a raczej monolog.
(-0.16666666666666666, -0.16666666666666666, 0.0, -0.3333333333333333)	Gdy jeden Jahu znajdzie na polu jakiś z tych kamieni, bywa często, że drugi, nadbiegłszy, wydziera mu go z rąk.
(0.0, 0.0, 0.0, 0.16666666666666666)	Naturalnie.
(0.0, 0.0, -0.6666666666666666, 0.0)	A kiedy wyszła z pierwszego osłupienia, gdy jeden rok i drugi minął głucho, czuła niepokój w głębi piersi, jakby trzepotanie źle związanych skrzydeł.
(0.0, 0.3333333333333333, 0.0, 0.0)	Ostatecznie być może — opowiadał jednoroczny ochotnik — że przy tej awanturze w zamęcie dostał facet w łeb, ale ten fakt nic w sytuacji nie zmienia, ponieważ mamy do czynienia z najwyraźniejszą pomyłką.
(0.0, -0.1111111111111111, 0.6666666666666666, 0.0)	— Och, daj spokój!
(0.0, -0.3333333333333333, 0.0, 0.0)	Podczas wielkiego prania wiosennego musiała hrabina stanąć u cebra pralni, a teściowa doglądała jej roboty.
(0.0, 0.16666666666666666, 0.16666666666666666, 0.0)	Ale jak się tam będzie z doniczką wozić.
(0.0, -0.6666666666666666, 0.0, -0.3333333333333333)	Pietro wyrwał się z objęć kochanki.
(0.0, -0.5, 0.16666666666666666, -0.3333333333333333)	— Jakto!... ja miałbym dziedziczyć po wrogu?...
(0.5, 0.0, 0.0, 0.16666666666666666)	Słowem, Sara nigdy nie przyglądała się takim cudom i dziwom, jak wtedy, gdy stała na stole, na wpół wychylając się przez okno i wsłuchując się w ciche, przedzachodnie ćwierkanie wróbelków.
(0.0, 0.0, 0.0, 0.0)	— panem dziedzicem Nawłoci z przyległościami.
(-0.8333333333333334, 0.0, 0.16666666666666666, 0.0)	—... Odszedłeś od nas — wołały płaczki — nie ma cię, panie... osierociłeś nas biednych...
(-0.3333333333333333, 0.0, 0.5, -0.16666666666666666)	— Czy to nie izraelskie dziecko jest, abyś ty na nie morze złości swej wylewać miał?
(0.0, 0.3333333333333333, 0.0, 0.0)	Staruszek jednak tylko kiwał głową.
(0.6666666666666666, -0.3333333333333333, 0.0, 0.0)	Ho! ho! nietylko takie roboty były!
(1.0, 0.0, 0.0, 0.0)	Anna ocknęła się, wzruszona serdecznością Franciszka.
(0.0, 0.3333333333333333, 0.0, 0.16666666666666666)	Przeeeeedewszyyystkim trzeba piiilnować zbiorów.
